Country,Longitude,Latitude,Basin,Seep_Type,Seep_Name,CH4_Concentration,C2_Concentration,C3_Concentration,Delta13C1,DeltaD1,Bernard_Ratio
Saudi Arabia,108.6332,36.632,Indus Basin,Oil,Oil Seep 1,7.1,0.2,93.7,-29.9,-202,1.4
Zambia,-114.6607,13.6979,South Uruguay Basin,Gas,Gas Seep 1,5.6,0.2,93.7,-29.3,-201,1.4
_RARE_,47.484,25.9744,Houston Basin,Gas,Gas Seep 1,6.9,0.2,93.1,-29.8,-203,1.5
United Arab Emirates,9.7824,43.8318,Song Hong Basin,Oil,Oil Seep 1,7.1,0.2,93.6,-29.7,-201,1.5
Norway,46.0617,60.5729,North Sea Basin,Oil,Oil Seep 3,5.7,0.2,92.7,-29.6,-202,1.4
Zambia,-122.0587,15.8405,Washington Basin,Gas,Oil Seep 2,5.6,0.2,92.8,-29.9,-201,1.4
Kuwait,-28.6831,39.743,United Kingdom Continental Shelf Basin,Oil,Oil Seep 2,6.3,0.3,93.5,-29.4,-205,1.4
India,-82.1767,42.353,Malay Basin,Gas,Oil Seep 2,7.0,0.3,92.8,-30.0,-204,1.2
Kuwait,-69.1474,11.5246,Southern California Borderland Basin,Gas,Oil Seep 3,5.8,0.2,92.6,-30.0,-202,1.5
United Arab Emirates,-89.0162,60.6939,Mahakam Delta Basin,Gas,Oil Seep 2,6.7,0.1,92.7,-30.1,-204,1.5
Thailand,-122.1399,15.7561,Zimbabwe Basin,Oil,Oil Seep 1,7.2,0.3,93.5,-30.0,-204,1.4
United Arab Emirates,24.4264,-10.6839,Dong Nai Basin,Gas,Oil Seep 2,6.3,0.1,93.5,-29.5,-201,1.4
_RARE_,-95.4275,-28.8025,Fox Basin,Gas,Oil Seep 2,6.7,0.2,92.6,-30.1,-204,1.5
Zimbabwe,-120.0309,11.4533,Mahakam Delta Basin,Oil,Oil Seep 1,7.0,0.3,93.5,-29.3,-202,1.2
_RARE_,-75.5626,42.3373,Guayaquil Basin,Gas,Oil Seep 3,5.7,0.4,92.6,-29.4,-199,1.2
Mexico,-21.3276,34.7822,Southern California Basin,Oil,Gas Seep 1,7.2,0.2,93.6,-30.0,-204,1.6
Iraq,-118.2434,11.6081,Lake Maracaibo Basin,Oil,Oil Seep 2,6.1,0.4,93.8,-29.5,-205,1.3
Zambia,50.6353,-32.9798,Bach Long Vi Basin,Oil,Gas Seep 1,5.8,0.5,93.3,-29.5,-199,1.2
Zimbabwe,-112.4823,31.5355,Manica Basin,Oil,Oil Seep 1,6.7,0.4,93.8,-29.2,-202,1.5
Saudi Arabia,64.9174,39.6471,Arabian Basin,Gas,Oil Seep 1,6.8,0.4,93.2,-30.0,-204,1.4
India,66.9376,41.3485,Guayaquil Basin,Gas,Oil Seep 3,6.7,0.4,92.6,-29.4,-201,1.3
Zimbabwe,26.2847,22.911,Abu Dhabi Basin,Gas,Oil Seep 2,5.6,0.5,94.0,-29.1,-199,1.2
Uzbekistan,7.2006,47.1042,Caspian Basin,Oil,Oil Seep 1,6.1,0.3,93.5,-29.9,-200,1.5
Canada,-117.3848,-28.5523,Swiss Jura Basin,Gas,Oil Seep 3,6.2,0.2,93.7,-29.5,-202,1.4
Vietnam,104.0944,35.2199,Zambezi Basin,Oil,Oil Seep 2,5.7,0.2,94.0,-29.4,-200,1.4
Canada,-117.6681,-12.8063,Denver Basin,Oil,Oil Seep 1,6.1,0.3,92.7,-30.0,-201,1.3
Venezuela,5.6057,12.8445,New Jersey Basin,Gas,Oil Seep 3,6.3,0.3,93.6,-29.7,-201,1.4
Turkey,107.3779,46.8671,Illinois Basin,Oil,Oil Seep 1,6.8,0.5,92.6,-29.7,-204,1.4
Yemen,146.8491,-29.7682,Santa Monica Basin,Gas,Gas Seep 2,6.1,0.1,94.0,-29.5,-205,1.1
India,-85.5497,45.1405,Qatar Arch Basin,Gas,Oil Seep 1,6.7,0.3,93.2,-30.1,-198,1.5
Russia,48.519,22.8031,Dong Nai Basin,Gas,Gas Seep 1,7.2,0.4,93.8,-29.4,-203,1.3
United States,-111.7932,26.4522,Shabwa-Masila Basin,Oil,Oil Seep 1,6.2,0.2,93.2,-30.0,-204,1.5
Uzbekistan,48.4406,-19.0112,Lake Maracaibo Basin,Gas,Gas Seep 1,6.2,0.2,93.2,-29.6,-201,1.5
_RARE_,66.0547,10.7198,Falkland Plateau Basin,Oil,Gas Seep 2,6.5,0.4,93.5,-29.3,-199,1.5
Zimbabwe,-118.3999,10.6393,German North Sea Basin,Gas,Oil Seep 2,7.2,0.1,93.5,-29.3,-200,1.5
Yemen,-70.6555,19.9514,Syria Basin,Oil,Gas Seep 1,5.8,0.4,93.2,-29.4,-203,1.3
Venezuela,30.3072,45.2554,Abu Dhabi Basin,Oil,Oil Seep 3,7.2,0.4,93.8,-29.3,-199,1.3
_RARE_,-95.8395,23.6729,Fergana Basin,Oil,Oil Seep 3,6.1,0.2,93.6,-30.2,-201,1.4
United Arab Emirates,-65.6377,7.013,Dutch North Sea Basin,Gas,Oil Seep 3,7.2,0.3,92.7,-29.7,-201,1.4
Russia,-70.2553,11.1413,Arabian Basin,Oil,Oil Seep 1,6.1,0.3,92.7,-29.2,-204,1.5
United States,4.6498,46.7504,Great South Basin,Gas,Oil Seep 1,5.7,0.2,93.9,-29.2,-203,1.4
Indonesia,-61.9605,34.4214,Zambezi Basin,Gas,Gas Seep 1,7.0,0.3,92.9,-29.4,-204,1.6
United Arab Emirates,29.1575,11.1637,Adriatic Basin,Oil,Oil Seep 3,6.7,0.4,93.8,-29.5,-204,1.4
_RARE_,-63.2819,30.2913,Swiss Jura Basin,Gas,Oil Seep 1,7.1,0.1,92.8,-30.0,-199,1.2
Turkey,4.1219,28.0322,Great South Basin,Oil,Oil Seep 3,6.1,0.4,93.9,-29.5,-202,1.3
Norway,-1.8907,35.8682,Persian Gulf Basin,Oil,Oil Seep 1,5.8,0.3,93.8,-29.6,-201,1.5
Mexico,-72.2901,45.0737,_RARE_,Gas,Oil Seep 3,5.7,0.2,92.8,-29.5,-201,1.4
Canada,-57.5215,16.8712,Limpopo Basin,Gas,Oil Seep 3,5.7,0.2,94.0,-29.7,-198,1.4
_RARE_,52.3178,6.6617,Philadelphia Basin,Gas,Oil Seep 1,7.0,0.3,93.2,-29.5,-202,1.3
Iraq,41.4345,60.6177,Western Zambia Basin,Oil,Oil Seep 2,7.2,0.2,93.5,-29.5,-205,1.4
Zimbabwe,54.173,37.15,New York Basin,Oil,Gas Seep 1,7.2,0.2,92.9,-30.1,-202,1.4
Norway,32.2431,38.6481,Salalah Basin,Gas,Gas Seep 1,6.2,0.4,93.8,-29.6,-204,1.3
Saudi Arabia,28.2068,41.2932,Swiss Jura Basin,Gas,Gas Seep 2,5.6,0.3,93.2,-29.4,-198,1.4
Yemen,-73.9788,45.1029,Southern California Borderland Basin,Oil,Oil Seep 1,5.8,0.3,92.7,-29.2,-199,1.5
United States,-110.2785,21.8898,Iowa Basin,Oil,Oil Seep 2,6.2,0.3,93.0,-29.8,-200,1.6
Kuwait,152.24,31.7866,Zimbabwe Border Basin,Gas,Oil Seep 3,6.7,0.4,93.8,-29.2,-199,1.5
Mexico,108.2444,33.5792,Fergana Basin,Gas,Gas Seep 1,5.8,0.4,93.8,-29.5,-201,1.4
Yemen,159.6905,-41.9729,Washington Basin,Gas,Oil Seep 3,7.1,0.2,92.6,-30.0,-202,1.3
Yemen,66.1357,-40.7735,Green River Basin,Oil,Gas Seep 1,7.2,0.1,93.7,-29.5,-201,1.4
Norway,-96.5904,-14.4389,Gulf of Lion Basin,Oil,Gas Seep 2,5.7,0.2,92.9,-29.6,-201,1.4
Uzbekistan,27.8704,14.7193,Santa Monica Basin,Gas,Oil Seep 2,6.2,0.2,92.6,-29.4,-201,1.4
Uzbekistan,-93.9262,44.9797,South Uruguay Basin,Oil,Gas Seep 2,7.2,0.4,93.5,-29.2,-199,1.2
_RARE_,-72.595,-16.6857,Limpopo Basin,Gas,Gas Seep 1,7.2,0.2,93.5,-29.3,-202,1.4
Venezuela,101.5221,-31.1645,Indus Basin,Gas,Gas Seep 1,7.1,0.2,94.0,-30.1,-204,1.5
India,56.4232,36.6526,Gulf of Valencia Basin,Gas,Gas Seep 1,5.6,0.3,93.1,-30.2,-199,1.3
Mexico,108.845,-14.7227,Amu Darya Basin,Oil,Gas Seep 2,5.6,0.5,93.5,-29.4,-198,1.1
Russia,48.1817,36.915,West Siberian Basin,Oil,Gas Seep 2,6.5,0.2,93.5,-30.1,-202,1.3
Mexico,-93.514,30.3135,Denver Basin,Gas,Gas Seep 2,6.9,0.2,92.6,-30.0,-202,1.6
Turkey,-69.007,29.1346,Levantine Basin,Oil,Oil Seep 1,6.5,0.3,92.7,-29.2,-205,1.5
Uzbekistan,9.6052,43.9443,Nankai Trough Basin,Gas,Oil Seep 1,5.7,0.2,93.9,-29.8,-200,1.6
Vietnam,-72.3219,41.5781,Gulf of Valencia Basin,Oil,Oil Seep 3,5.7,0.4,93.7,-29.5,-202,1.4
Saudi Arabia,29.4671,60.9604,Southern Georgia Embayment Basin,Gas,Oil Seep 1,5.8,0.3,92.7,-30.1,-204,1.2
Thailand,-74.2256,29.3566,White Tiger Basin,Oil,Oil Seep 3,6.9,0.2,93.1,-29.7,-203,1.5
Turkey,30.8816,35.2306,Swiss Jura Basin,Gas,Oil Seep 3,6.2,0.4,92.7,-30.1,-201,1.2
_RARE_,111.8611,24.1632,Offshore Singapore Basin,Gas,Gas Seep 2,5.8,0.4,92.7,-29.5,-201,1.3
Zimbabwe,-93.4353,15.4475,San Joaquin Basin,Gas,Gas Seep 2,6.3,0.2,92.7,-29.5,-201,1.5
United States,109.4467,17.4351,South Uruguay Basin,Oil,Oil Seep 2,6.1,0.2,92.9,-29.5,-201,1.5
Thailand,9.5053,33.4618,New Hebrides Basin,Oil,Oil Seep 1,5.8,0.3,92.7,-30.1,-199,1.3
Saudi Arabia,37.0053,40.6704,Heartland Basin,Oil,Gas Seep 1,6.8,0.2,92.6,-29.9,-204,1.6
Russia,113.8087,41.3205,Masila Basin,Oil,Gas Seep 2,6.2,0.2,93.5,-29.4,-201,1.5
Venezuela,-55.8021,11.902,Iowa Basin,Gas,Oil Seep 1,6.2,0.5,93.6,-29.6,-204,1.4
Zimbabwe,-93.3108,21.4189,Saudi Basin,Gas,Gas Seep 2,7.0,0.2,93.8,-29.1,-204,1.3
_RARE_,54.062,30.7772,Luapula Basin,Gas,Oil Seep 3,6.1,0.4,93.9,-29.1,-204,1.3
Yemen,18.641,-7.4006,Dong Nai Basin,Gas,Oil Seep 1,6.7,0.3,93.2,-29.4,-198,1.3
Turkey,28.0005,10.1629,Falkland Plateau Basin,Oil,Oil Seep 1,6.3,0.1,93.2,-29.5,-199,1.5
United States,-89.0046,-0.8933,Bach Long Vi Basin,Gas,Oil Seep 1,6.2,0.5,93.7,-29.4,-202,1.4
Saudi Arabia,99.6465,22.5144,Zimbabwe Border Basin,Gas,Oil Seep 1,7.0,0.3,92.7,-29.2,-204,1.2
Zimbabwe,-3.5191,10.736,Syria Basin,Gas,Oil Seep 1,7.0,0.3,92.7,-29.7,-199,1.2
_RARE_,113.7828,23.7768,Washington Basin,Gas,Gas Seep 2,7.0,0.4,93.5,-30.0,-205,1.4
Indonesia,138.7858,48.6336,Colorado Basin,Oil,Gas Seep 1,5.7,0.2,93.7,-29.9,-199,1.4
Vietnam,9.7989,26.946,Heartland Basin,Gas,Oil Seep 3,6.3,0.1,93.5,-30.2,-201,1.6
Norway,7.096,37.3147,Zimbabwe Basin,Gas,Oil Seep 3,6.2,0.3,93.6,-29.5,-205,1.3
Mexico,69.3412,52.7131,Malay Basin,Oil,Oil Seep 3,6.1,0.4,93.5,-29.3,-201,1.4
Venezuela,29.6381,16.6807,Limpopo Basin,Gas,Gas Seep 1,6.9,0.2,93.2,-29.2,-202,1.4
Mexico,51.1801,38.0777,Anadarko Basin,Gas,Gas Seep 1,7.1,0.5,93.8,-29.2,-199,1.4
Vietnam,63.0725,19.839,Abu Dhabi Basin,Oil,Oil Seep 1,7.0,0.3,92.6,-29.4,-204,1.5
United Arab Emirates,33.0886,35.2034,Nam Con Son Basin,Gas,Gas Seep 1,6.7,0.2,93.5,-29.5,-201,1.4
India,26.7823,24.9097,Luapula Basin,Oil,Gas Seep 2,7.0,0.1,92.7,-30.0,-205,1.5
Russia,53.8147,23.6543,Shabwah Basin,Oil,Oil Seep 3,6.1,0.5,93.0,-29.8,-203,1.4
Venezuela,-93.315,38.5709,Maranon Basin,Gas,Gas Seep 2,6.9,0.2,92.9,-30.2,-201,1.5
Uzbekistan,29.548,57.4039,White Tiger Basin,Gas,Gas Seep 1,7.2,0.2,93.1,-29.5,-202,1.4
Norway,-104.1354,36.4439,Washington Basin,Gas,Oil Seep 2,6.5,0.4,93.3,-29.6,-201,1.5
Yemen,105.0042,10.6703,Zimbabwe Basin,Oil,Oil Seep 1,6.9,0.3,93.2,-29.5,-201,1.4
Mexico,-3.6392,30.3147,Chilean Basin,Gas,Oil Seep 1,7.0,0.1,93.2,-29.5,-204,1.5
Zambia,35.2204,35.6528,Luangwa Basin,Gas,Gas Seep 2,7.2,0.5,92.7,-29.4,-201,1.6
United States,-70.3559,34.1157,Nile Delta Basin,Oil,Oil Seep 2,6.8,0.3,93.2,-29.4,-202,1.4
_RARE_,-112.703,8.5103,Lake Maracaibo Basin,Oil,Gas Seep 1,7.2,0.2,94.0,-29.5,-202,1.4
Canada,121.4831,23.8728,Arabian Basin,Oil,Oil Seep 3,5.7,0.2,94.0,-29.5,-202,1.4
Yemen,16.9885,35.0142,Gulf of Thailand Basin,Oil,Oil Seep 1,6.7,0.3,92.7,-29.6,-203,1.5
Norway,-75.8522,-11.447,Gulf of Lion Basin,Gas,Gas Seep 2,7.2,0.4,93.1,-29.2,-199,1.5
Thailand,-41.6167,-30.0086,Barinas Basin,Oil,Gas Seep 1,7.2,0.4,93.3,-29.2,-205,1.6
Zimbabwe,-88.9524,-14.6057,Campeche Basin,Gas,Gas Seep 2,5.8,0.1,93.5,-30.0,-204,1.5
Venezuela,28.0695,23.7435,Western Zambia Basin,Gas,Oil Seep 3,5.7,0.2,93.5,-29.5,-201,1.4
Vietnam,6.0467,14.8077,Indus Basin,Gas,Oil Seep 1,5.8,0.4,93.8,-29.4,-199,1.3
Kuwait,51.1299,25.1616,Indus Basin,Oil,Gas Seep 1,6.1,0.2,93.5,-29.5,-201,1.4
Vietnam,6.0609,14.8265,Rumaila Basin,Oil,Oil Seep 2,7.1,0.2,93.5,-29.5,-201,1.4
United States,-92.1292,19.1769,Indus Basin,Oil,Oil Seep 1,7.0,0.4,93.2,-29.4,-202,1.1
Venezuela,0.2984,14.4939,Lake Maracaibo Basin,Oil,Oil Seep 3,6.7,0.3,93.1,-30.2,-202,1.2
_RARE_,-93.2816,33.3567,Beaufort Sea Basin,Oil,Gas Seep 1,6.1,0.2,93.1,-29.7,-202,1.2
Canada,-62.1344,15.8276,Swiss Jura Basin,Gas,Gas Seep 2,5.6,0.1,93.0,-29.4,-201,1.4
